Id,1stFlrSF,2ndFlrSF,3SsnPorch,Alley,BedroomAbvGr,BldgType,BsmtCond,BsmtExposure,BsmtFinSF1,BsmtFinSF2,BsmtFinType1,BsmtFinType2,BsmtFullBath,BsmtHalfBath,BsmtQual,BsmtUnfSF,CentralAir,Condition1,Condition2,Electrical,EnclosedPorch,ExterCond,ExterQual,Exterior1st,Exterior2nd,Fence,FireplaceQu,Fireplaces,Foundation,FullBath,Functional,GarageArea,GarageCars,GarageCond,GarageFinish,GarageQual,GarageType,GarageYrBlt,GrLivArea,HalfBath,Heating,HeatingQC,HouseStyle,KitchenAbvGr,KitchenQual,LandContour,LandSlope,LotArea,LotConfig,LotFrontage,LotShape,LowQualFinSF,MSSubClass,MSZoning,MasVnrArea,MasVnrType,MiscFeature,MiscVal,MoSold,Neighborhood,OpenPorchSF,OverallCond,OverallQual,PavedDrive,PoolArea,PoolQC,RoofMatl,RoofStyle,SaleCondition,SalePrice,SaleType,ScreenPorch,Street,TotRmsAbvGrd,TotalBsmtSF,Utilities,WoodDeckSF,YearBuilt,YearRemodAdd,YrSold,Total Square Feet (ft),Total Lot Square Feet (ft),Total Cost Per Square Feet ($),Total Lot Cost Per Square Feet ($)
267,802,709,0,None,3,1Fam,TA,Av,714,0,GLQ,Unf,1,0,Gd,88,Y,Norm,Norm,SBrkr,0,TA,TA,VinylSd,VinylSd,NO,TA,1,PConc,2,Typ,413,2,TA,Fin,TA,Attchd,1997.0,1511,1,GasA,Gd,2Story,1,TA,HLS,Gtl,11207,FR2,70.0,IR1,0,60,RL,0.0,None,No,0,6,Gilbert,75,5,6,Y,0,No,CompShg,Gable,Normal,185000,WD,0,Pave,8,802,AllPub,95,1997,1997,2006,2225,11207,83.15,16.507539930400643
268,1052,720,0,None,4,1Fam,TA,No,378,0,LwQ,Unf,0,0,TA,342,Y,Norm,Norm,SBrkr,0,TA,TA,Wd Sdng,Wd Sdng,NO,Gd,1,PConc,2,Typ,240,1,TA,Unf,TA,Detchd,1939.0,2192,1,GasA,Ex,2.5Fin,1,Gd,Bnk,Mod,8400,Inside,60.0,Reg,420,75,RL,0.0,None,No,0,7,SWISU,24,8,5,Y,0,No,CompShg,Gable,Normal,179500,WD,0,Pave,8,720,AllPub,262,1939,1997,2008,2570,8400,69.84,21.36904761904762
269,778,0,0,None,2,1Fam,TA,No,403,125,ALQ,Rec,0,0,TA,212,Y,Norm,Norm,SBrkr,0,TA,TA,VinylSd,VinylSd,NO,Gd,1,CBlock,1,Typ,924,1,Ex,Fin,Ex,Detchd,1966.0,778,0,GasA,Ex,1Story,1,TA,Lvl,Gtl,6900,Inside,71.0,Reg,0,30,RM,0.0,None,No,0,2,IDOTRR,25,6,5,Y,0,No,CompShg,Gable,Normal,120500,WD,0,Pave,4,740,AllPub,0,1940,1955,2008,1306,6900,92.27,17.463768115942027
270,1113,0,0,None,3,1Fam,Gd,No,751,0,BLQ,Unf,1,0,TA,392,Y,Norm,Norm,SBrkr,0,Gd,TA,HdBoard,HdBoard,GdPrv,Fa,1,CBlock,1,Typ,504,1,Gd,RFn,TA,Attchd,1987.0,1113,1,GasA,TA,1Story,1,TA,Lvl,Gtl,7917,Corner,0,IR1,0,20,RL,174.0,BrkFace,No,0,5,Edwards,30,7,6,Y,0,No,CompShg,Hip,Normal,148000,WD,0,Pave,6,1143,AllPub,370,1976,1976,2007,1864,7917,79.4,18.693949728432486
271,1095,844,0,None,3,1Fam,TA,Mn,0,0,Unf,Unf,0,0,Gd,1095,Y,Norm,Norm,SBrkr,0,TA,Gd,VinylSd,VinylSd,NO,Gd,1,PConc,2,Typ,1053,3,TA,RFn,TA,Attchd,2006.0,1939,1,GasA,Gd,2Story,1,Gd,Lvl,Gtl,10728,Inside,84.0,Reg,0,60,FV,0.0,None,No,0,8,Somerst,51,5,8,Y,0,No,CompShg,Gable,Partial,266000,New,0,Pave,8,1095,AllPub,192,2006,2006,2006,1939,10728,137.18,24.794929157345265
272,1363,0,0,None,2,1Fam,TA,Gd,226,1063,LwQ,GLQ,1,0,Gd,96,Y,Norm,Norm,SBrkr,0,TA,TA,Plywood,Plywood,NO,TA,2,CBlock,1,Mod,439,2,TA,Unf,TA,Attchd,1954.0,1363,0,GasA,Ex,1Story,1,TA,Low,Sev,39104,CulDSac,73.0,IR1,0,20,RL,0.0,None,No,0,4,ClearCr,0,7,7,Y,0,No,Membran,Flat,Normal,241500,WD,0,Pave,5,1385,AllPub,81,1954,2005,2008,2652,39104,91.06,6.175838788870704
273,1164,1106,0,None,4,1Fam,TA,No,524,0,GLQ,Unf,0,0,Gd,628,Y,Norm,Norm,SBrkr,0,TA,Gd,VinylSd,VinylSd,NO,Gd,1,PConc,2,Typ,671,3,TA,Fin,TA,Attchd,1999.0,2270,1,GasA,Ex,2Story,1,Gd,Lvl,Gtl,11764,CulDSac,92.0,IR1,0,60,RL,348.0,BrkFace,No,0,4,NoRidge,57,7,8,Y,0,No,CompShg,Gable,Normal,290000,WD,0,Pave,9,1152,AllPub,132,1999,2007,2010,2794,11764,103.79,24.651479088745326
274,1632,0,0,None,3,1Fam,TA,No,620,620,Rec,LwQ,1,0,TA,0,Y,Feedr,Norm,SBrkr,0,TA,TA,Wd Sdng,Wd Sdng,MnPrv,Gd,1,CBlock,2,Min1,338,1,TA,RFn,TA,Attchd,1958.0,1632,0,GasA,Gd,1Story,1,TA,Lvl,Gtl,9600,Inside,80.0,Reg,0,20,RL,183.0,BrkCmn,No,0,4,NAmes,0,6,6,Y,0,No,CompShg,Hip,Normal,139000,WD,0,Pave,6,1240,AllPub,289,1958,1988,2009,2872,9600,48.4,14.479166666666666
275,816,0,0,None,2,1Fam,TA,Gd,546,0,ALQ,Unf,0,0,TA,270,Y,Norm,Norm,SBrkr,0,TA,TA,HdBoard,ImStucc,NO,NO,0,CBlock,1,Typ,264,1,TA,Unf,TA,Attchd,1982.0,816,0,GasA,TA,1Story,1,TA,Lvl,Gtl,8314,Corner,76.0,Reg,0,20,RL,0.0,None,No,0,6,Mitchel,0,7,5,Y,0,No,CompShg,Gable,Normal,124500,WD,0,Pave,5,816,AllPub,168,1982,1982,2007,1362,8314,91.41,14.974741400048112
276,952,596,0,None,3,1Fam,TA,No,0,0,Unf,Unf,0,0,TA,952,N,Norm,Norm,SBrkr,0,Gd,Gd,Wd Sdng,Wd Sdng,NO,NO,0,BrkTil,2,Typ,672,2,TA,Unf,TA,Detchd,1978.0,1548,1,GasW,Gd,1.5Fin,1,Ex,Lvl,Gtl,7264,Inside,55.0,Reg,0,50,RL,0.0,None,No,0,10,BrkSide,0,7,7,Y,0,No,CompShg,Gable,Normal,205000,WD,144,Pave,5,952,AllPub,74,1925,2007,2009,1548,7264,132.43,28.22136563876652
277,1560,0,0,None,3,1Fam,TA,No,0,0,Unf,Unf,0,0,Ex,1560,Y,Norm,Norm,SBrkr,0,TA,Gd,VinylSd,VinylSd,NO,NO,0,PConc,2,Typ,573,2,TA,Fin,TA,Attchd,2003.0,1560,0,GasA,Ex,1Story,1,Gd,Lvl,Gtl,9196,Inside,129.0,IR1,0,20,RL,0.0,None,No,0,4,Mitchel,150,5,7,Y,0,No,CompShg,Gable,Normal,201000,WD,0,Pave,7,1560,AllPub,100,2003,2003,2010,1560,9196,128.85,21.857329273597216
278,864,0,0,None,2,1Fam,TA,No,120,0,LwQ,Unf,0,0,TA,744,Y,Norm,Norm,SBrkr,0,TA,TA,VinylSd,VinylSd,NO,NO,0,CBlock,1,Typ,400,2,TA,Unf,TA,Detchd,1951.0,864,0,GasA,Ex,1Story,1,TA,Lvl,Gtl,19138,Corner,140.0,Reg,0,20,RL,0.0,None,No,0,6,Gilbert,0,5,4,Y,0,No,CompShg,Gable,Normal,141000,WD,0,Pave,4,864,AllPub,0,1951,1951,2010,984,19138,143.29,7.367541017870206
279,2121,0,0,None,3,1Fam,TA,Gd,0,0,Unf,Unf,0,0,Ex,2121,Y,Norm,Norm,SBrkr,0,TA,Ex,CemntBd,CmentBd,NO,Ex,1,PConc,2,Typ,732,3,TA,Fin,TA,Attchd,2007.0,2121,1,GasA,Ex,1Story,1,Ex,Lvl,Gtl,14450,Inside,107.0,Reg,0,20,RL,315.0,BrkFace,No,0,5,NridgHt,98,5,9,Y,0,No,CompShg,Gable,Partial,415298,New,142,Pave,8,2121,AllPub,124,2006,2007,2007,2121,14450,195.8,28.740346020761244
280,1156,866,0,None,4,1Fam,TA,No,392,0,BLQ,Unf,0,0,Gd,768,Y,Norm,Norm,SBrkr,0,TA,TA,Plywood,Plywood,NO,TA,1,CBlock,2,Typ,505,2,TA,Fin,TA,Attchd,1977.0,2022,1,GasA,Ex,2Story,1,TA,Lvl,Gtl,10005,Inside,83.0,Reg,0,60,RL,299.0,BrkFace,No,0,3,ClearCr,117,5,7,Y,0,No,CompShg,Hip,Normal,192000,WD,0,Pave,8,1160,AllPub,288,1977,1977,2008,2414,10005,79.54,19.1904047976012
281,1175,807,196,None,3,1Fam,TA,Av,421,0,GLQ,Unf,0,0,Gd,386,Y,Norm,Norm,SBrkr,0,TA,Gd,Plywood,Plywood,NO,TA,1,CBlock,2,Typ,575,2,TA,Fin,TA,Attchd,1989.0,1982,1,GasA,Gd,2Story,1,Gd,Lvl,Gtl,11287,Inside,82.0,Reg,0,60,RL,340.0,BrkFace,No,0,1,SawyerW,84,6,7,Y,0,No,CompShg,Gable,Normal,228500,WD,0,Pave,7,807,AllPub,0,1989,1989,2007,2403,11287,95.09,20.24452910427926
282,1262,0,0,Pave,2,1Fam,TA,No,905,0,GLQ,Unf,0,0,Gd,357,Y,Norm,Norm,SBrkr,0,TA,Gd,VinylSd,VinylSd,NO,NO,0,PConc,2,Typ,572,2,TA,Fin,TA,Attchd,2006.0,1262,0,GasA,Gd,1Story,1,Gd,Lvl,Gtl,7200,Inside,60.0,Reg,0,20,FV,68.0,Stone,No,0,5,Somerst,120,5,6,Y,0,No,CompShg,Gable,Partial,185000,New,0,Pave,5,1262,AllPub,0,2006,2006,2006,2167,7200,85.37,25.694444444444443
283,1314,0,0,None,2,Twnhs,TA,No,904,0,GLQ,Unf,1,0,Gd,410,Y,Norm,Norm,SBrkr,0,TA,Gd,VinylSd,VinylSd,NO,Gd,1,PConc,2,Typ,626,2,TA,RFn,TA,Attchd,2008.0,1314,0,GasA,Ex,1Story,1,Gd,Lvl,Gtl,5063,Inside,34.0,Reg,0,120,RL,166.0,Stone,No,0,4,NridgHt,62,5,7,Y,0,No,CompShg,Gable,Normal,207500,ConLw,0,Pave,6,1314,AllPub,172,2007,2008,2009,2218,5063,93.55,40.98360655737705
284,1468,0,0,None,3,1Fam,TA,No,0,0,Unf,Unf,0,0,Gd,1468,Y,Feedr,Norm,SBrkr,0,TA,Gd,VinylSd,VinylSd,NO,Gd,1,PConc,2,Typ,898,3,TA,Fin,TA,Attchd,2008.0,1468,0,GasA,Ex,1Story,1,Gd,Lvl,Gtl,9612,Inside,74.0,Reg,0,20,RL,72.0,Stone,No,0,12,Somerst,150,5,8,Y,0,No,CompShg,Gable,Partial,244600,New,0,Pave,6,1468,AllPub,210,2008,2009,2009,1468,9612,166.62,25.44735746982938
285,1575,0,0,None,2,TwnhsE,TA,No,430,0,GLQ,Unf,1,0,Gd,1145,Y,Norm,Norm,SBrkr,52,TA,Gd,Plywood,ImStucc,NO,NO,0,PConc,2,Typ,529,2,TA,RFn,TA,Attchd,1992.0,1575,0,GasA,Gd,1Story,1,Gd,Lvl,Gtl,8012,Inside,50.0,Reg,0,120,RL,0.0,None,No,0,7,SawyerW,0,5,6,Y,0,No,CompShg,Gable,Normal,179200,WD,0,Pave,5,1575,AllPub,0,1992,1992,2007,2005,8012,89.38,22.36645032451323
286,625,625,0,Pave,2,TwnhsE,TA,No,0,0,Unf,Unf,0,0,Gd,625,Y,Norm,Norm,SBrkr,0,TA,Gd,MetalSd,MetalSd,NO,NO,0,PConc,2,Typ,528,2,TA,RFn,TA,Detchd,2006.0,1250,1,GasA,Ex,2Story,1,Gd,Lvl,Gtl,4251,Inside,35.0,IR1,0,160,FV,0.0,None,No,0,6,Somerst,54,5,7,Y,0,No,CompShg,Gable,Partial,164700,New,0,Pave,5,625,AllPub,0,2006,2007,2007,1250,4251,131.76,38.74382498235709
287,1085,649,0,None,3,1Fam,TA,No,600,0,Rec,Unf,0,0,TA,312,Y,Norm,Norm,SBrkr,0,TA,TA,Wd Sdng,Wd Sdng,GdPrv,Gd,1,CBlock,1,Typ,440,2,TA,RFn,TA,Attchd,1962.0,1734,1,GasA,TA,1.5Fin,1,Gd,Bnk,Gtl,9786,Inside,77.0,IR1,0,50,RL,0.0,None,No,0,6,NAmes,0,7,6,Y,0,No,CompShg,Gable,Normal,159000,WD,128,Pave,7,912,AllPub,0,1962,1981,2006,2334,9786,68.12,16.24770079705702
288,858,0,0,None,3,1Fam,TA,No,614,0,BLQ,Unf,0,0,TA,244,Y,Norm,Norm,SBrkr,0,TA,TA,HdBoard,HdBoard,NO,NO,0,CBlock,1,Typ,0,0,No,No,No,No,0,858,0,GasA,TA,1Story,1,TA,Lvl,Gtl,8125,Corner,0,IR1,0,20,RL,0.0,None,No,0,6,NAmes,0,4,4,Y,0,No,CompShg,Gable,Normal,88000,WD,0,Pave,5,858,AllPub,0,1971,1971,2006,1472,8125,59.78,10.830769230769231
289,900,0,0,None,3,1Fam,TA,No,450,0,BLQ,Unf,0,0,TA,432,Y,Norm,Norm,SBrkr,0,Gd,TA,MetalSd,MetalSd,MnPrv,NO,0,CBlock,1,Typ,280,1,TA,Unf,TA,Detchd,1970.0,900,0,GasA,TA,1Story,1,TA,Lvl,Gtl,9819,Inside,0,IR1,0,20,RL,31.0,BrkFace,No,0,2,Sawyer,0,5,5,Y,0,No,CompShg,Gable,Normal,122000,WD,0,Pave,5,882,AllPub,0,1967,1967,2010,1350,9819,90.37,12.424890518382727
290,698,698,0,None,3,1Fam,TA,No,0,0,Unf,Unf,0,0,TA,698,Y,RRAn,Norm,FuseA,0,TA,TA,Wd Sdng,Wd Sdng,NO,NO,0,BrkTil,1,Typ,384,1,TA,Unf,TA,Detchd,2003.0,1396,0,GasA,Ex,2Story,1,TA,Lvl,Gtl,8730,Inside,60.0,Reg,0,70,RL,0.0,None,No,0,7,BrkSide,0,7,6,Y,0,No,CompShg,Gable,Normal,153575,WD,259,Pave,7,698,AllPub,0,1915,2003,2007,1396,8730,110.01,17.59163802978236
291,1079,840,0,None,3,1Fam,TA,Av,0,0,Unf,Unf,0,0,Gd,1079,Y,Norm,Norm,SBrkr,0,TA,Gd,VinylSd,VinylSd,NO,Gd,1,PConc,2,Typ,685,2,TA,RFn,Gd,Attchd,2006.0,1919,1,GasA,Ex,2Story,1,Gd,Lvl,Gtl,15611,Inside,120.0,Reg,0,60,RL,0.0,None,No,0,7,CollgCr,51,5,8,Y,0,No,CompShg,Gable,Partial,233230,New,0,Pave,8,1079,AllPub,0,2006,2006,2006,1919,15611,121.54,14.940106335276408
292,936,780,0,Grvl,6,2fmCon,Fa,No,210,0,Rec,Unf,1,0,TA,570,N,Norm,Norm,SBrkr,0,Fa,TA,VinylSd,VinylSd,NO,NO,0,PConc,2,Typ,0,0,No,No,No,No,0,1716,0,GasA,Ex,2Story,1,Fa,Bnk,Gtl,5687,Inside,55.0,Reg,0,190,RL,0.0,None,No,0,3,SWISU,184,6,5,N,0,No,CompShg,Gable,Normal,135900,WD,0,Pave,9,780,AllPub,0,1912,2000,2008,1926,5687,70.56,23.896606295058906
293,1148,568,0,None,3,1Fam,TA,No,292,0,LwQ,Unf,0,0,TA,476,Y,Norm,Norm,SBrkr,0,TA,TA,Wd Sdng,Wd Sdng,NO,Gd,1,CBlock,1,Min2,281,1,TA,Unf,TA,Attchd,1949.0,1716,1,GasA,Gd,1.5Fin,1,TA,Lvl,Gtl,11409,Inside,60.0,Reg,0,50,RL,0.0,None,No,0,1,Edwards,0,4,5,Y,0,No,CompShg,Gable,Normal,131000,WD,160,Pave,8,768,AllPub,0,1949,2008,2009,2008,11409,65.24,11.482163204487685
294,1468,795,0,None,3,1Fam,TA,No,795,0,ALQ,Unf,1,0,TA,0,Y,PosA,Norm,SBrkr,0,TA,TA,Plywood,Plywood,NO,TA,1,CBlock,2,Typ,539,2,TA,Fin,TA,Attchd,1977.0,2263,1,GasA,Fa,2Story,1,Gd,Lvl,Gtl,16659,Corner,0,IR1,0,60,RL,34.0,BrkFace,No,0,3,NWAmes,250,7,7,Y,0,No,CompShg,Gable,Normal,235000,WD,0,Pave,9,795,AllPub,0,1977,1994,2006,3058,16659,76.85,14.106488984933069
295,1644,0,0,None,3,1Fam,TA,No,1285,0,GLQ,Unf,1,0,TA,131,Y,Norm,Norm,SBrkr,0,TA,TA,HdBoard,HdBoard,NO,Gd,2,CBlock,1,Typ,418,2,TA,Fin,TA,Attchd,1953.0,1644,0,GasA,TA,1Story,1,TA,Lvl,Gtl,9600,Inside,80.0,Reg,0,20,RL,238.0,Stone,No,0,10,NAmes,0,5,6,Y,0,No,CompShg,Hip,Normal,167000,WD,0,Pave,7,1416,AllPub,110,1953,1953,2009,2929,9600,57.02,17.395833333333332
296,1003,0,0,None,3,1Fam,TA,Av,819,0,GLQ,Unf,1,0,TA,184,Y,Norm,Norm,SBrkr,0,TA,TA,HdBoard,HdBoard,GdPrv,NO,0,CBlock,1,Typ,588,2,TA,Unf,TA,Detchd,1984.0,1003,0,GasA,TA,SLvl,1,TA,Lvl,Gtl,7937,CulDSac,37.0,IR1,0,80,RL,0.0,None,No,0,3,Mitchel,0,6,6,Y,0,No,CompShg,Gable,Normal,142500,WD,0,Pave,6,1003,AllPub,120,1984,1984,2006,1822,7937,78.21,17.95388685901474
297,910,648,0,None,4,1Fam,TA,No,420,0,BLQ,Unf,0,0,TA,490,Y,Norm,Norm,FuseA,0,TA,TA,Wd Sdng,Wd Sdng,MnPrv,NO,0,CBlock,1,Typ,282,1,TA,Unf,TA,Attchd,1950.0,1558,1,GasA,TA,1.5Fin,1,TA,Lvl,Gtl,13710,Inside,75.0,Reg,0,50,RM,0.0,None,No,0,6,IDOTRR,0,5,5,Y,0,No,CompShg,Gable,Normal,152000,WD,0,Pave,6,910,AllPub,289,1950,1950,2007,1978,13710,76.85,11.086797957695113
298,975,975,0,Pave,3,1Fam,TA,No,649,0,BLQ,Unf,0,0,Gd,326,Y,Norm,Norm,SBrkr,0,TA,Gd,VinylSd,VinylSd,NO,TA,1,PConc,2,Typ,576,2,TA,RFn,TA,Detchd,1997.0,1950,1,GasA,Ex,2Story,1,Gd,Lvl,Gtl,7399,Inside,66.0,IR1,0,60,FV,1600.0,BrkFace,No,0,6,Somerst,10,5,7,Y,0,No,CompShg,Hip,Normal,239000,WD,198,Pave,7,975,AllPub,0,1997,1998,2007,2599,7399,91.96,32.30166238680903
299,1041,702,0,None,3,1Fam,TA,No,384,175,ALQ,Rec,0,1,TA,143,Y,Norm,Norm,SBrkr,0,TA,Gd,HdBoard,AsphShn,NO,Gd,1,CBlock,1,Typ,539,2,TA,Unf,TA,Attchd,1968.0,1743,2,GasA,Gd,2Story,1,TA,Lvl,Gtl,11700,Inside,90.0,Reg,0,60,RL,365.0,BrkFace,No,0,6,NWAmes,0,6,6,Y,0,No,CompShg,Mansard,Normal,175000,WD,0,Pave,7,702,AllPub,224,1968,1968,2007,2302,11700,76.02,14.957264957264957
300,1152,0,0,None,3,1Fam,TA,No,0,0,Unf,Unf,0,1,TA,1092,Y,Norm,Norm,SBrkr,0,Gd,TA,HdBoard,HdBoard,GdPrv,Gd,1,CBlock,1,Typ,300,1,TA,Unf,TA,Attchd,1950.0,1152,0,GasA,Ex,1Story,1,Gd,Lvl,Gtl,14000,Inside,80.0,Reg,0,20,RL,0.0,None,No,0,8,Crawfor,36,8,6,Y,0,No,CompShg,Gable,Family,158500,WD,0,Pave,6,1092,AllPub,0,1950,2004,2009,1152,14000,137.59,11.321428571428571
301,1336,0,0,None,2,2fmCon,TA,Mn,841,0,BLQ,Unf,1,0,TA,324,Y,Norm,Norm,SBrkr,0,TA,TA,MetalSd,MetalSd,NO,Gd,2,CBlock,1,Typ,375,1,TA,Unf,TA,Attchd,1953.0,1336,0,GasA,TA,1Story,1,TA,Lvl,Gtl,15750,Corner,90.0,Reg,0,190,RL,56.0,BrkFace,No,0,6,Crawfor,0,5,5,Y,0,No,CompShg,Hip,Normal,157000,WD,0,Pave,5,1165,AllPub,0,1953,1953,2006,2177,15750,72.12,9.968253968253968
302,1210,1242,0,None,4,1Fam,TA,No,281,0,GLQ,Unf,0,0,Gd,747,Y,Norm,Norm,SBrkr,0,TA,Gd,VinylSd,VinylSd,NO,TA,1,PConc,2,Typ,683,2,TA,Fin,TA,BuiltIn,1998.0,2452,1,GasA,Ex,2Story,1,Gd,Lvl,Gtl,16226,Inside,66.0,IR3,0,60,RL,0.0,None,No,0,5,CollgCr,50,5,8,Y,0,No,CompShg,Gable,Normal,267000,WD,0,Pave,9,1028,AllPub,208,1998,1999,2007,2733,16226,97.69,16.45507210649575
303,1541,0,0,None,3,1Fam,TA,No,0,0,Unf,Unf,0,0,Gd,1541,Y,Norm,Norm,SBrkr,0,TA,Gd,VinylSd,VinylSd,NO,TA,1,PConc,2,Typ,843,3,TA,RFn,TA,Attchd,2001.0,1541,0,GasA,Ex,1Story,1,Gd,Lvl,Gtl,13704,Corner,118.0,IR1,0,20,RL,150.0,BrkFace,No,0,1,CollgCr,81,5,7,Y,0,No,CompShg,Gable,Normal,205000,WD,0,Pave,6,1541,AllPub,468,2001,2002,2006,1541,13704,133.03,14.959136018680677
304,894,0,0,None,3,1Fam,TA,No,894,0,ALQ,Unf,1,0,TA,0,Y,Norm,Norm,SBrkr,0,TA,TA,VinylSd,VinylSd,GdWo,NO,0,PConc,1,Typ,552,2,TA,Unf,TA,Attchd,1975.0,894,0,GasA,TA,1Story,1,TA,Lvl,Gtl,9800,Corner,70.0,Reg,0,20,RL,0.0,None,No,0,7,CollgCr,0,7,5,Y,0,No,CompShg,Gable,Abnorml,149900,WD,0,Pave,5,894,AllPub,256,1972,1972,2006,1788,9800,83.84,15.295918367346939
305,1675,1818,0,None,3,1Fam,TA,No,0,0,Unf,Unf,0,0,TA,1470,Y,Norm,Norm,SBrkr,0,TA,TA,CemntBd,CmentBd,NO,Ex,1,BrkTil,3,Typ,870,3,TA,Unf,TA,Attchd,2003.0,3493,0,GasA,Ex,2.5Fin,1,Gd,Lvl,Gtl,18386,Inside,87.0,Reg,0,75,RM,0.0,None,No,0,5,OldTown,0,9,7,Y,0,No,CompShg,Gable,Normal,295000,WD,0,Pave,10,1470,AllPub,302,1880,2002,2008,3493,18386,84.45,16.04481670836506
306,2000,0,0,None,3,1Fam,TA,No,1464,0,GLQ,Unf,1,0,Gd,536,Y,Norm,Norm,SBrkr,0,TA,Gd,CemntBd,CmentBd,NO,NO,0,PConc,2,Typ,888,3,TA,Fin,TA,Attchd,2004.0,2000,0,GasA,Ex,1Story,1,Gd,Lvl,Gtl,10386,Inside,80.0,Reg,0,20,RL,246.0,Stone,No,0,7,CollgCr,0,5,8,Y,0,No,CompShg,Gable,Normal,305900,WD,0,Pave,8,2000,AllPub,168,2004,2005,2007,3464,10386,88.31,29.45310995570961
307,1122,1121,0,None,4,1Fam,TA,No,700,0,ALQ,Unf,1,0,Gd,0,Y,Feedr,Norm,SBrkr,224,TA,Gd,HdBoard,Plywood,NO,TA,1,CBlock,2,Typ,746,3,TA,RFn,TA,Attchd,1990.0,2243,1,GasA,Gd,2Story,1,Gd,Lvl,Gtl,13474,Inside,116.0,Reg,0,60,RL,246.0,BrkFace,No,0,6,SawyerW,44,5,7,Y,0,No,CompShg,Gable,Normal,225000,WD,0,Pave,8,700,AllPub,127,1990,1991,2007,2943,13474,76.45,16.698827371233488
308,1035,371,0,Grvl,3,1Fam,TA,No,0,0,Unf,Unf,0,0,TA,319,Y,Artery,Norm,FuseA,0,Fa,TA,MetalSd,MetalSd,MnPrv,NO,0,CBlock,1,Typ,0,0,No,No,No,No,0,1406,0,GasA,TA,1.5Fin,1,Fa,Lvl,Gtl,7920,Inside,0,IR1,0,50,RM,0.0,None,No,0,3,IDOTRR,144,7,6,N,0,No,CompShg,Gable,Normal,89500,WD,0,Pave,6,319,AllPub,0,1920,1950,2008,1406,7920,63.66,11.30050505050505
309,861,0,0,None,1,1Fam,TA,No,262,0,BLQ,Unf,0,0,TA,599,Y,Norm,Norm,SBrkr,0,TA,TA,VinylSd,VinylSd,NO,NO,0,CBlock,1,Typ,539,2,TA,Unf,TA,Detchd,1961.0,861,0,GasA,Ex,1Story,1,TA,Lvl,Gtl,12342,Inside,0,IR1,0,30,RL,0.0,None,No,0,3,Edwards,0,5,4,Y,0,No,CompShg,Gable,Normal,82500,WD,0,Pave,4,861,AllPub,158,1940,1950,2009,1123,12342,73.46,6.684491978609626
310,1944,0,0,None,3,1Fam,TA,Gd,1274,0,GLQ,Unf,1,0,Ex,622,Y,Norm,Norm,SBrkr,0,TA,Gd,VinylSd,VinylSd,NO,Ex,3,PConc,2,Typ,708,3,TA,Fin,TA,Attchd,2003.0,1944,0,GasA,Ex,1Story,1,Ex,Lvl,Gtl,12378,Inside,90.0,IR1,0,20,RL,0.0,None,No,0,11,NridgHt,175,5,9,Y,0,No,CompShg,Gable,Normal,360000,WD,0,Pave,8,1896,AllPub,208,2003,2004,2006,3218,12378,111.87,29.0838584585555
311,697,804,0,None,3,1Fam,TA,No,518,0,ALQ,Unf,0,0,Gd,179,Y,Norm,Norm,SBrkr,0,TA,TA,HdBoard,HdBoard,NO,TA,1,PConc,2,Typ,420,2,TA,Fin,TA,Attchd,1993.0,1501,1,GasA,Gd,2Story,1,Gd,Lvl,Gtl,7685,Inside,0,IR1,0,60,RL,112.0,BrkFace,No,0,5,Gilbert,63,5,6,Y,0,No,CompShg,Gable,Normal,165600,WD,0,Pave,6,697,AllPub,190,1993,1994,2006,2019,7685,82.02,21.54847104749512
312,972,0,0,None,2,1Fam,TA,No,680,0,ALQ,Unf,1,0,TA,292,Y,Norm,Norm,SBrkr,0,Gd,TA,VinylSd,VinylSd,NO,Gd,1,CBlock,1,Typ,240,1,TA,Unf,TA,Detchd,1948.0,972,0,GasA,Ex,1Story,1,TA,Lvl,Gtl,8000,Inside,50.0,Reg,0,20,RL,0.0,None,No,0,5,NAmes,0,6,6,Y,0,No,CompShg,Gable,Normal,132000,WD,0,Pave,5,972,AllPub,0,1948,2002,2009,1652,8000,79.9,16.5
313,793,325,0,None,3,2fmCon,TA,Mn,507,0,Rec,Unf,1,0,Gd,286,Y,Artery,Norm,SBrkr,0,TA,TA,MetalSd,MetalSd,MnPrv,Gd,1,CBlock,1,Typ,410,2,TA,Unf,TA,Detchd,1939.0,1118,0,GasA,TA,1.5Fin,1,TA,Lvl,Gtl,7800,Inside,65.0,Reg,0,190,RM,0.0,None,No,0,5,OldTown,0,7,5,Y,0,No,CompShg,Gable,Normal,119900,WD,271,Pave,5,793,AllPub,0,1939,1950,2006,1625,7800,73.78,15.371794871794872
314,2036,0,0,None,3,1Fam,TA,Gd,1236,820,ALQ,Rec,2,0,Gd,80,Y,Norm,Norm,SBrkr,0,TA,TA,BrkFace,BrkFace,NO,Gd,2,CBlock,2,Typ,513,2,TA,RFn,TA,Attchd,1965.0,2036,0,GasW,TA,1Story,1,TA,Low,Sev,215245,Inside,150.0,IR3,0,20,RL,0.0,None,No,0,6,Timber,0,5,7,Y,0,No,CompShg,Hip,Normal,375000,WD,0,Pave,8,2136,AllPub,0,1965,1965,2009,4092,215245,91.64,1.7422007479848545
